date,level,site
2006-09-21,,#1004202
2007-09-21,,#1004202
2008-09-21,,#1004202
2009-09-21,,#1004202
2010-09-21,,#1004202
2011-09-21,,#1004202
2012-09-21,,#1004202
2013-09-21,,#1004202
2014-09-21,,#1004202
2015-09-21,,#1004202
2016-09-21,,#1004202
2017-09-21,,#1004202
2018-09-21,,#1004202
2019-09-21,,#1004202
2020-09-21,,#1004202
2001-09-21,,#1004203
2002-09-21,,#1004203
2003-09-21,,#1004203
2004-09-21,,#1004203
2005-09-21,,#1004203
2006-09-21,,#1004203
2007-09-21,,#1004203
2008-09-21,,#1004203
2009-09-21,,#1004203
2010-09-21,,#1004203
2011-09-21,,#1004203
2012-09-21,,#1004203
2013-09-21,,#1004203
2014-09-21,,#1004203
2015-09-21,,#1004203
2016-09-21,,#1004203
2017-09-21,,#1004203
2018-09-21,,#1004203
2019-09-21,,#1004203
2020-09-21,,#1004203
2001-09-21,,#1004301
2002-09-21,,#1004301
2003-09-21,,#1004301
2004-09-21,,#1004301
2005-09-21,,#1004301
2006-09-21,,#1004301
2007-09-21,,#1004301
2008-09-21,,#1004301
2009-09-21,,#1004301
2010-09-21,,#1004301
2011-09-21,,#1004301
2012-09-21,,#1004301
2013-09-21,,#1004301
2014-09-21,,#1004301
2015-09-21,,#1004301
2016-09-21,,#1004301
2017-09-21,,#1004301
2018-09-21,,#1004301
2019-09-21,,#1004301
2020-09-21,,#1004301
2001-09-21,,#1004504
2002-09-21,,#1004504
2003-09-21,,#1004504
2004-09-21,,#1004504
2005-09-21,,#1004504
2006-09-21,,#1004504
2007-09-21,,#1004504
2008-09-21,,#1004504
2009-09-21,,#1004504
2010-09-21,,#1004504
2011-09-21,,#1004504
2012-09-21,,#1004504
2013-09-21,,#1004504
2014-09-21,,#1004504
2015-09-21,,#1004504
2016-09-21,,#1004504
2017-09-21,,#1004504
2018-09-21,,#1004504
2019-09-21,,#1004504
2020-09-21,,#1004504
2001-09-21,,#1004603
2002-09-21,,#1004603
2003-09-21,,#1004603
2004-09-21,,#1004603
2005-09-21,,#1004603
2006-09-21,,#1004603
2007-09-21,,#1004603
2008-09-21,,#1004603
2009-09-21,,#1004603
2010-09-21,,#1004603
2011-09-21,,#1004603
2012-09-21,,#1004603
2013-09-21,,#1004603
2014-09-21,,#1004603
2015-09-21,,#1004603
2016-09-21,,#1004603
2017-09-21,,#1004603
2018-09-21,,#1004603
2019-09-21,,#1004603
2020-09-21,,#1004603
2001-09-21,-66.42500000000001,#1004901
2002-09-21,-66.15,#1004901
2003-09-21,-66.01529411764706,#1004901
2004-09-21,-65.96444444444444,#1004901
2005-09-21,-65.92333333333333,#1004901
2006-09-21,-65.93384615384615,#1004901
2007-09-21,-65.98333333333333,#1004901
2008-09-21,-66.06666666666666,#1004901
2009-09-21,-66.515,#1004901
2010-09-21,-66.58999999999999,#1004901
2011-09-21,-67.45611111111111,#1004901
2012-09-21,-68.19888888888889,#1004901
2013-09-21,-68.67277777777778,#1004901
2014-09-21,-69.20777777777778,#1004901
2015-09-21,-69.41888888888889,#1004901
2016-09-21,-69.4535294117647,#1004901
2017-09-21,-69.41055555555556,#1004901
2018-09-21,-69.75866666666666,#1004901
2019-09-21,-69.805,#1004901
2020-09-21,-69.99444444444445,#1004901
2001-09-21,,#1005225
2002-09-21,,#1005225
2003-09-21,,#1005225
2004-09-21,,#1005225
2005-09-21,,#1005225
2006-09-21,,#1005225
2007-09-21,,#1005225
2008-09-21,,#1005225
2009-09-21,,#1005225
2010-09-21,,#1005225
2011-09-21,,#1005225
2012-09-21,,#1005225
2013-09-21,,#1005225
2014-09-21,,#1005225
2015-09-21,,#1005225
2016-09-21,,#1005225
2017-09-21,,#1005225
2018-09-21,,#1005225
2019-09-21,,#1005225
2020-09-21,,#1005225
2001-09-21,,#1005502
2002-09-21,,#1005502
2003-09-21,,#1005502
2004-09-21,,#1005502
2005-09-21,,#1005502
2006-09-21,,#1005502
2007-09-21,,#1005502
2008-09-21,,#1005502
2009-09-21,,#1005502
2010-09-21,,#1005502
2011-09-21,,#1005502
2012-09-21,,#1005502
2013-09-21,,#1005502
2014-09-21,,#1005502
2015-09-21,,#1005502
2016-09-21,,#1005502
2017-09-21,,#1005502
2018-09-21,,#1005502
2019-09-21,,#1005502
2020-09-21,,#1005502
2001-09-21,,#1005603
2002-09-21,,#1005603
2003-09-21,,#1005603
2004-09-21,,#1005603
2005-09-21,,#1005603
2006-09-21,,#1005603
2007-09-21,,#1005603
2008-09-21,,#1005603
2009-09-21,,#1005603
2010-09-21,,#1005603
2011-09-21,,#1005603
2012-09-21,,#1005603
2013-09-21,,#1005603
2014-09-21,,#1005603
2015-09-21,,#1005603
2016-09-21,,#1005603
2017-09-21,,#1005603
2018-09-21,,#1005603
2019-09-21,,#1005603
2020-09-21,,#1005603
2001-09-21,,#1005814
2002-09-21,,#1005814
2003-09-21,,#1005814
2004-09-21,,#1005814
