date,level,site
2003-09-21,,#1120
2004-09-21,,#1120
2005-09-21,,#1120
2006-09-21,,#1120
2007-09-21,,#1120
2008-09-21,,#1120
2009-09-21,,#1120
2010-09-21,,#1120
2011-09-21,,#1120
2012-09-21,,#1120
2013-09-21,,#1120
2014-09-21,,#1120
2015-09-21,,#1120
2016-09-21,-75.9,#1120
2017-09-21,,#1120
2018-09-21,,#1120
2019-09-21,,#1120
2020-09-21,,#1120
2001-09-21,,#113284
2002-09-21,,#113284
2003-09-21,,#113284
2004-09-21,,#113284
2005-09-21,,#113284
2006-09-21,,#113284
2007-09-21,,#113284
2008-09-21,,#113284
2009-09-21,,#113284
2010-09-21,,#113284
2011-09-21,,#113284
2012-09-21,,#113284
2013-09-21,,#113284
2014-09-21,,#113284
2015-09-21,,#113284
2016-09-21,,#113284
2017-09-21,,#113284
2018-09-21,,#113284
2019-09-21,,#113284
2020-09-21,,#113284
2001-09-21,,#1135
2002-09-21,,#1135
2003-09-21,,#1135
2004-09-21,,#1135
2005-09-21,,#1135
2006-09-21,,#1135
2007-09-21,,#1135
2008-09-21,,#1135
2009-09-21,,#1135
2010-09-21,,#1135
2011-09-21,,#1135
2012-09-21,,#1135
2013-09-21,,#1135
2014-09-21,,#1135
2015-09-21,,#1135
2016-09-21,-62.83,#1135
2017-09-21,,#1135
2018-09-21,,#1135
2019-09-21,,#1135
2020-09-21,,#1135
2001-09-21,,#113986
2002-09-21,,#113986
2003-09-21,,#113986
2004-09-21,,#113986
2005-09-21,,#113986
2006-09-21,,#113986
2007-09-21,,#113986
2008-09-21,,#113986
2009-09-21,,#113986
2010-09-21,,#113986
2011-09-21,,#113986
2012-09-21,,#113986
2013-09-21,,#113986
2014-09-21,,#113986
2015-09-21,,#113986
2016-09-21,,#113986
2017-09-21,,#113986
2018-09-21,,#113986
2019-09-21,,#113986
2020-09-21,,#113986
2001-09-21,,#114047
2002-09-21,,#114047
2003-09-21,,#114047
2004-09-21,,#114047
2005-09-21,,#114047
2006-09-21,,#114047
2007-09-21,,#114047
2008-09-21,,#114047
2009-09-21,,#114047
2010-09-21,,#114047
2011-09-21,,#114047
2012-09-21,,#114047
2013-09-21,,#114047
2014-09-21,,#114047
2015-09-21,,#114047
2016-09-21,,#114047
