date,normalised_level
2001-03-01,2.207062834096103
2001-06-01,
2001-09-01,
2001-12-01,4.302577234481575
2002-03-01,2.007715008009147
2002-06-01,3.9525772344815664
2002-09-01,
2002-12-01,5.303045189271636
2003-03-01,1.5490914078947298
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,1.9478801146091018
2004-06-01,
2004-09-01,
2004-12-01,-1.2524036080462722
2005-03-01,2.280052578303268
2005-06-01,
2005-09-01,
2005-12-01,-8.674895833333334
2006-03-01,2.1603362522370073
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,1.4941048099486365
2007-06-01,8.487600000000008
2007-09-01,
2007-12-01,
2008-03-01,2.0534902205254184
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,1.8847143903149421
2009-06-01,-6.525574999999996
2009-09-01,
2009-12-01,
2010-03-01,1.5775185554377331
2010-06-01,
2010-09-01,
2010-12-01,1.3512258831302262
2011-03-01,1.0560658015664912
2011-06-01,1.1555743315264877
2011-09-01,0.9605120170902666
2011-12-01,0.9570337562206959
2012-03-01,0.41516083469818615
2012-06-01,0.7768629487672882
2012-09-01,0.07085716897579175
2012-12-01,-0.009687626808137395
2013-03-01,-0.15060340887007082
2013-06-01,0.14710640526377727
2013-09-01,-0.17684477653163558
2013-12-01,-0.005317942144973387
2014-03-01,-0.46652433910280117
2014-06-01,-0.4252938848354873
2014-09-01,-0.7801432409249727
2014-12-01,-0.2341867906877333
2015-03-01,-1.2597420450020356
2015-06-01,-0.26494815556475776
2015-09-01,-0.19234806139413735
2015-12-01,-0.18792896379498578
2016-03-01,-1.2956853397252848
2016-06-01,0.29012184987627054
2016-09-01,-2.016855798230549
2016-12-01,-1.6471600860299667
2017-03-01,-1.3918700367681192
2017-06-01,0.4368871295113624
2017-09-01,0.12326792263128564
2017-12-01,-0.6292202355037873
2018-03-01,-1.5129018903187965
2018-06-01,0.32732069871563496
2018-09-01,0.10511847107487797
2018-12-01,-0.7673730066456876
2019-03-01,-1.8578451270337726
2019-06-01,0.3795488208432966
2019-09-01,0.010939718203153164
2019-12-01,-0.9799811050690082
2020-03-01,-1.9050647710434616
2020-06-01,-0.8836134509839653
2020-09-01,0.07641480207604623
2020-12-01,-1.2219370021204803
