date,level,site
2015-09-21,-1.3275,#430835101295001
2016-09-21,-1.605,#430835101295001
2017-09-21,-2.2675,#430835101295001
2018-09-21,-1.923333333333333,#430835101295001
2019-09-21,-1.16,#430835101295001
2020-09-21,-1.6933333333333334,#430835101295001
2001-09-21,-4.073333333333333,#430835101554601
2002-09-21,-5.15,#430835101554601
2003-09-21,-5.41,#430835101554601
2004-09-21,-6.025,#430835101554601
2005-09-21,-5.805,#430835101554601
2006-09-21,-6.449999999999999,#430835101554601
2007-09-21,-6.543333333333333,#430835101554601
2008-09-21,-5.963333333333334,#430835101554601
2009-09-21,-5.64,#430835101554601
2010-09-21,-5.576666666666667,#430835101554601
2011-09-21,-4.970000000000001,#430835101554601
2012-09-21,-6.154999999999999,#430835101554601
2013-09-21,-5.81,#430835101554601
2014-09-21,,#430835101554601
2015-09-21,-4.3675,#430835101554601
2016-09-21,-4.9,#430835101554601
2017-09-21,-6.623333333333332,#430835101554601
2018-09-21,-4.826666666666667,#430835101554601
2019-09-21,-4.04,#430835101554601
2020-09-21,-4.226666666666667,#430835101554601
2001-09-21,-14.0,#430837101211901
2002-09-21,-14.065,#430837101211901
2003-09-21,-14.14,#430837101211901
2004-09-21,-14.23,#430837101211901
2005-09-21,-14.245,#430837101211901
2006-09-21,-14.375,#430837101211901
2007-09-21,-14.449999999999998,#430837101211901
2008-09-21,-14.3825,#430837101211901
2009-09-21,-14.4275,#430837101211901
2010-09-21,-14.38,#430837101211901
2011-09-21,-14.28,#430837101211901
2012-09-21,-14.23,#430837101211901
2013-09-21,-14.339999999999998,#430837101211901
2014-09-21,,#430837101211901
2015-09-21,-14.3075,#430837101211901
2016-09-21,-14.3375,#430837101211901
2017-09-21,-13.7625,#430837101211901
2018-09-21,-14.4,#430837101211901
2019-09-21,,#430837101211901
2020-09-21,-14.896666666666668,#430837101211901
2001-09-21,-22.89,#430839100373801
2002-09-21,-22.935,#430839100373801
2003-09-21,-22.97,#430839100373801
2004-09-21,-23.1475,#430839100373801
2005-09-21,-23.335,#430839100373801
2006-09-21,-23.65,#430839100373801
2007-09-21,-23.67,#430839100373801
2008-09-21,-23.7575,#430839100373801
2009-09-21,-23.665,#430839100373801
2010-09-21,-23.68,#430839100373801
2011-09-21,-23.455,#430839100373801
2012-09-21,-23.59,#430839100373801
2013-09-21,-23.570000000000004,#430839100373801
2014-09-21,,#430839100373801
2015-09-21,-23.57,#430839100373801
2016-09-21,-23.42333333333333,#430839100373801
2017-09-21,-24.066666666666663,#430839100373801
2018-09-21,-23.130000000000003,#430839100373801
2019-09-21,-23.41,#430839100373801
2020-09-21,,#430839100373801
2001-09-21,-20.756666666666668,#430840100445601
2002-09-21,-20.91,#430840100445601
2003-09-21,-21.53,#430840100445601
2004-09-21,-21.9625,#430840100445601
2005-09-21,-22.175,#430840100445601
2006-09-21,-22.34,#430840100445601
2007-09-21,-22.453333333333333,#430840100445601
2008-09-21,-22.4075,#430840100445601
2009-09-21,-22.425,#430840100445601
2010-09-21,-22.08,#430840100445601
2011-09-21,-21.67,#430840100445601
2012-09-21,-21.61,#430840100445601
2013-09-21,-22.33,#430840100445601
2014-09-21,,#430840100445601
2015-09-21,-21.815,#430840100445601
2016-09-21,-21.94,#430840100445601
2017-09-21,-22.92333333333333,#430840100445601
2018-09-21,-22.37333333333333,#430840100445601
2019-09-21,-22.1675,#430840100445601
2020-09-21,,#430840100445601
2001-09-21,-23.51,#430840101213601
2002-09-21,-23.68,#430840101213601
2003-09-21,-23.945,#430840101213601
2004-09-21,-24.275,#430840101213601
2005-09-21,-24.555,#430840101213601
2006-09-21,-24.75,#430840101213601
2007-09-21,-25.16,#430840101213601
2008-09-21,-25.39,#430840101213601
2009-09-21,-25.39,#430840101213601
2010-09-21,-25.18,#430840101213601
2011-09-21,-25.27,#430840101213601
2012-09-21,-24.565,#430840101213601
2013-09-21,-24.88,#430840101213601
2014-09-21,,#430840101213601
2015-09-21,-24.7875,#430840101213601
2016-09-21,-24.7,#430840101213601
2017-09-21,-24.655,#430840101213601
2018-09-21,-24.885,#430840101213601
2019-09-21,-24.14,#430840101213601
2020-09-21,-23.47666666666667,#430840101213601
2001-09-21,-24.403333333333336,#430840101213602
2002-09-21,-24.585,#430840101213602
2003-09-21,-24.855,#430840101213602
2004-09-21,-25.15,#430840101213602
2005-09-21,-25.465,#430840101213602
2006-09-21,-24.99,#430840101213602
2007-09-21,-25.3,#430840101213602
2008-09-21,-25.555,#430840101213602
2009-09-21,-25.585,#430840101213602
2010-09-21,-25.39,#430840101213602
2011-09-21,-25.165,#430840101213602
2012-09-21,-24.93,#430840101213602
2013-09-21,-25.05333333333333,#430840101213602
2014-09-21,,#430840101213602
2015-09-21,-25.02,#430840101213602
2016-09-21,-24.8925,#430840101213602
2017-09-21,-24.7075,#430840101213602
2018-09-21,-25.035,#430840101213602
2019-09-21,-24.38,#430840101213602
2020-09-21,-24.363333333333333,#430840101213602
2001-09-21,-2.59,#430923099461001
2002-09-21,-3.26,#430923099461001
2003-09-21,-3.89,#430923099461001
2004-09-21,-4.390000000000001,#430923099461001
2005-09-21,-4.27,#430923099461001
2006-09-21,-4.375,#430923099461001
2007-09-21,-3.92,#430923099461001
