AgencyCd,SiteNo,LithologyDescription
KSGS,373008098264801,"clay, white and tan"
KSGS,373008098264801,fine to coarse sand
KSGS,373008098264801,"fine to coarse sand and fine to medium gravel, loose"
KSGS,373008098264801,"clay, brown"
KSGS,373008098264801,"fine to coarse sand and fine to coarse gravel, loose"
KSGS,373008098264801,"clay, tan, with sand streaks"
KSGS,373008098264801,"fine to coarse sand with white clay, mixed, loose"
KSGS,373008098264801,"clay, red"
KSGS,373008098264801,"fine to coarse sand and fine to coarse gravel, loose"
KSGS,373008098264801,"shale, red"
KSGS,374704098102401,sandy top soil
KSGS,374704098102401,gray clay
KSGS,374704098102401,sand and gravel
KSGS,374704098102401,tan and gray clay
KSGS,374704098102401,"sand and gravel, small, with small to medium rock and few clay pieces"
KSGS,374704098102401,cemented sand
KSGS,374704098102401,"sand and gravel, small, with small to medium rock"
KSGS,374704098102401,cemented sand
KSGS,374704098102401,"sand and gravel, small"
KSGS,374704098102401,red bed
KSGS,374147098950301,soil
KSGS,374147098950301,clay
KSGS,374147098950301,fine sand
KSGS,374147098950301,clay
KSGS,374147098950301,medium fine sand with clay lens
KSGS,374147098950301,clay
KSGS,374147098950301,fine silty sand
KSGS,374147098950301,clay
KSGS,374147098950301,medium sand
KSGS,374147098950301,clay
KSGS,374147098950301,medium sand with gravel
KSGS,380338098550101,top soil and sandy brown clay
KSGS,380338098550101,brown sandy clay
KSGS,380338098550101,brown sandy clay with streaks of fine sand and gravel
KSGS,380338098550101,very fine-fine sand and gravel with clay streaks
KSGS,380338098550101,sandy brown clay with streaks of sand and gravel
KSGS,380338098550101,"medium-coarse sand and gravel, thick clay streak at 32-33 feet"
KSGS,380338098550101,fine-medium sand and gravel
KSGS,380338098550101,yellow and white sandy clay with streak of fine sand and gravel at 51 feet; thin caliche streaks at 57-59 feet
KSGS,380338098550101,fine-medium sand and gravel with thin streaks of sandy clay
KSGS,380338098550101,yellow and white clay and streaks of sandstone
KSGS,374133098195801,top soil and sandy clay
KSGS,374133098195801,medium gravel
KSGS,374133098195801,gray clay
KSGS,374133098195801,medium gravel with 2% clay streaks
KSGS,374133098195801,clean medium sand
KSGS,374133098195801,medium sand with 20% sandy clay chips
KSGS,374133098195801,medium to fine sand with shale
KSGS,374133098195801,red bed
KSGS,373510099335801,top soil and clay
KSGS,373510099335801,sand and clay
KSGS,373510099335801,sand and gravel shale
KSGS,373510099335801,Shale
KSGS,375131097301402,top soil
KSGS,375131097301402,coarse sand and gravel
KSGS,375131097301402,tan clay
KSGS,375131097301402,fine to coarse sand and fine to medium gravel
KSGS,375131097301402,sandy tan clay
KSGS,375131097301402,fine to coarse sand and fine to medium gravel
KSGS,375131097301402,tan clay
KSGS,375131097301402,"very fine to fine sand, silty"
KSGS,375131097301402,sandy gray clay
KSGS,375131097301402,very fine to coarse sand and fine gravel with clay lenses
KSGS,375211097383301,top soil
KSGS,375211097383301,tight gray clay
KSGS,375211097383301,medium sand
KSGS,375211097383301,green clay
KSGS,375211097383301,coarse gravel
KSGS,375211097383301,small gravel
KSGS,375211097383301,coarse gravel
KSGS,375211097383301,medium sand with 5% clay
KSGS,375211097383301,sandy clay
KSGS,375211097383301,gray clay
KSGS,375211097383301,fine medium sand with 5% clay
KSGS,375211097383301,clean medium sand
KSGS,375211097383301,sandy clay
KSGS,375211097383301,fine medium sand
KSGS,375211097383301,sandy clay
KSGS,380513099062202,sandy top soil
KSGS,380513099062202,brown sandy clay and fine sand
KSGS,380513099062202,brown and white clay
KSGS,380513099062202,fine sand and gravel
KSGS,380513099062202,brown clay
KSGS,380513099062202,brown sandy clay with streaks of sand
KSGS,380513099062202,sand and gravel
KSGS,380513099062202,gray clay
KSGS,374358098203301,"dark brown loam, slightly sandy"
KSGS,374358098203301,brown sandy clay
KSGS,374358098203301,sand and gravel
KSGS,374358098203301,light gray to white sandy clay with lime layers
KSGS,374358098203301,white silty clay with little sand
KSGS,374358098203301,light gray to tan sandy clay with lime layers; decrease in sand with depth
KSGS,374358098203301,reddish-brown sandy clay
KSGS,374358098203301,sand and gravel with some clay stringers
KSGS,374358098203301,orange-brown silty clay; increase in sand; lime layer at 104 feet
KSGS,374358098203301,sandy clay interbedded with sand; clay layers disappearing with depth; mostly fine to medium sand
KSGS,374358098203301,red shale (Permian)
KSGS,375247098202401,sand
KSGS,375247098202401,gray clay
KSGS,375247098202401,medium gravel with fine sand
KSGS,375247098202401,shale
KSGS,375457098281801,brown top soil
KSGS,375457098281801,"red clayey sand, fine to coarse"
KSGS,375457098281801,fine to coarse sand with gravel lenses
KSGS,374347098554501,top soil
KSGS,374347098554501,gray and brown clay
KSGS,374347098554501,sandy clay and sandstone
KSGS,374347098554501,"brown clay, limestone, and gravel streaks"
KSGS,374347098554501,sand and gravel
KSGS,374347098554501,brown clay and limestone
KSGS,374347098554501,sand and gravel
KSGS,374347098554501,gray clay
KSGS,382432098275201,top soil
KSGS,382432098275201,"sandy clay, brown"
KSGS,382432098275201,"clay, brown"
KSGS,382432098275201,"sand and gravel; fine, medium coarse; thin clay streak at 55 feet"
KSGS,374837097225301,top soil
KSGS,374837097225301,clay
KSGS,374837097225301,medium to coarse sand and gravel
KSGS,381747097375101,top soil
KSGS,381747097375101,"clay, brown, hard"
KSGS,381747097375101,"sand, medium"
KSGS,381747097375101,"clay, brown"
KSGS,381747097375101,"sand, fine, hard"
KSGS,381747097375101,sandstone
KSGS,381747097375101,"sand, very fine, hard"
KSGS,381747097375101,"sand, medium"
KSGS,381747097375101,"shale, green"
KSGS,373003098562301,clay
KSGS,373003098562301,sand and gravel
KSGS,373003098562301,clay and caliche
KSGS,372831101023601,top soil
KSGS,372831101023601,"clay, brown"
KSGS,372831101023601,fine sand
KSGS,372831101023601,"clay, brown"
KSGS,372831101023601,"fine sandy clay, brown"
KSGS,372831101023601,fine to medium clay
KSGS,372831101023601,"clay, brown"
KSGS,372831101023601,"fine to medium sand and gravel, loose"
KSGS,372831101023601,"clay, yellowish brown"
KSGS,372831101023601,"clay, blueish brown"
KSGS,372831101023601,"clay, blue"
KSGS,372831101023601,fine to medium sand and gravel
KSGS,372831101023601,"clay, brown"
KSGS,372831101023601,fine to medium sand and gravel
KSGS,372831101023601,"sandy clay, brown"
KSGS,372831101023601,"fine to medium sand, gravelly"
KSGS,372831101023601,"clay, yellow"
KSGS,372831101023602,top soil
KSGS,372831101023602,"clay, brown"
KSGS,372831101023602,fine sand
KSGS,372831101023602,"clay, brown"
KSGS,372831101023602,"fine sandy clay, brown"
KSGS,372831101023602,clayey fine to medium sand
KSGS,372831101023602,"clay, brown"
KSGS,372831101023602,"fine to medium sand and gravel, loose"
KSGS,372831101023602,"clay, yellowish brown"
KSGS,372831101023602,"clay, bluish brown"
KSGS,372831101023602,"clay, blue"
KSGS,372831101023602,fine to medium sand and gravel
KSGS,372831101023602,"clay, brown"
KSGS,372831101023602,fine to medium sand and gravel
KSGS,372831101023602,"sandy clay, brown"
KSGS,372831101023602,"fine to medium sand, gravelly"
KSGS,372831101023602,"sandy clay, brown"
KSGS,372831101023602,"clay, yellow"
KSGS,373528101281901,top soil
KSGS,373528101281901,"clay, brown"
KSGS,373528101281901,fine sand
KSGS,373528101281901,fine to medium sand
KSGS,373528101281901,"clay, gray"
KSGS,373528101281901,"clayey fine sand, brown"
KSGS,373528101281901,fine to medium sand
KSGS,373528101281901,sandy clay
KSGS,373528101281901,fine sand
KSGS,373528101281901,sandy clay
KSGS,373528101281901,fine to medium sand
KSGS,373528101281901,sandy clay
KSGS,373528101281902,top soil
KSGS,373528101281902,"clay, brown"
KSGS,373528101281902,fine sand
KSGS,373528101281902,fine to medium sand
KSGS,373528101281902,"clay, gray"
KSGS,373528101281902,"clayey fine sand, brown"
KSGS,373528101281902,fine to medium sand
KSGS,373528101281902,sandy clay
KSGS,373528101281902,fine sand
KSGS,373528101281902,sandy clay
KSGS,373528101281902,fine to medium sand
KSGS,373528101281902,sandy clay
KSGS,373528101281902,fine to medium sand
KSGS,373528101281902,"clayey sandstone, moderately weathered, yellow"
KSGS,373528101281902,"shale, slightly weathered, black"
KSGS,373528101281902,"clayey sandstone, unweathered"
KSGS,373528101281902,"sandstone, unweathered"
KSGS,373528101281902,"shale, slightly weathered, dark red"
KSGS,373607100565301,top soil
KSGS,373607100565301,brown clay caliche
KSGS,373607100565301,sand - fine to med coarse small and few med gravel few clay streaks and cemented ledges
KSGS,373607100565301,sand - fine to med coarse small to large gravel few small clay streaks uses water
KSGS,373607100565301,cemented sand - hard
KSGS,373607100565301,"tan and yellow and gray clay, few small sand streaks - sticky"
KSGS,373607100565301,sand - fine to med coarse small gravel
KSGS,373607100565301,sand - fine to med coarse gray and brown clay streaks
KSGS,373607100565301,sand - fine to med loose small gravel
KSGS,373607100565301,"brown and yellow clay, sand streaks"
KSGS,373607100565301,sand - fine to med coarse small gravel
KSGS,373607100565301,sand - fine to med clay streaks and limerock ledges
KSGS,373607100565301,sand - fine to med coarse small gravel clay streaks and few limerock ledges
KSGS,373607100565301,"sand - fine to med coarse small to med gravel cemented, drills rough"
KSGS,373607100565301,"brown and brown sandy clay, few sand streaks, sticky in places"
KSGS,373607100565301,sand - fine to med coarse few small gravel
KSGS,373607100565301,brown clay
KSGS,373607100565301,"fine to medium few coarse sand, few clay stringers and streaks, few cemented ledges drills tight"
KSGS,373607100565301,brown and brown sandy clay added bran for water loss
KSGS,373607100565301,fine and small sand
KSGS,373607100565301,brown clay few fine sand streaks
KSGS,373607100565301,"fine to medium coarse sand, medium small and few small brown gravel, drills firm"
KSGS,373607100565301,yellow and gray soapstone
KSGS,373607100565301,brown sandstone and sandy soapstone (sluffs)
KSGS,373607100565301,brown and yellow soapstone
KSGS,373607100565301,blue shale and hard brown clay
KSGS,373607100565301,blue shale
KSGS,373607100565301,shale and few sandstone streaks
KSGS,373607100565301,Dakota sandstone uses little water
KSGS,373607100565301,shale and Dakota streaks
KSGS,373607100565301,shale - sticky
KSGS,373607100565301,"sandstone and sandy soapstone streaks, loose"
KSGS,373607100565301,soapstone
KSGS,373607100565301,red bed
KSGS,372760100362401,top soil
KSGS,372760100362401,brown clay
KSGS,372760100362401,brown sandy clay
KSGS,372760100362401,fine to medium sand and gravel
KSGS,372760100362401,brown clay
KSGS,372760100362401,"fine to medium sand and gravel, 15% clay"
KSGS,372760100362401,brown clay
KSGS,372760100362401,blue clay
KSGS,372760100362401,brown clay with small gravel streak
KSGS,372760100362401,fine to medium sand
KSGS,372760100362401,fine to medium sand and gravel
KSGS,372760100362401,fine to medium sand and gravel with small clay strip
KSGS,372760100362401,brown sandy clay
KSGS,372760100362401,fine to medium sand and gravel
KSGS,372760100362401,brown sandy clay
KSGS,372760100362401,fine to medium sand and gravel
KSGS,372760100362401,"blue clay, 20% gravel strip, tight"
KSGS,372760100362401,"brown clay, 20% gravel strip, tight"
KSGS,372760100362401,brown sandy clay
KSGS,372760100362401,brown clay
KSGS,372760100362401,"brown clay and sandstone, mixed"
KSGS,372760100362401,yellow clay
KSGS,372760100362401,shale
KSGS,370103101222801,top soil fine sand
KSGS,370103101222801,brown clay
KSGS,370103101222801,brown clay white rock mixed - tight
KSGS,370103101222801,brown sandy clay
KSGS,370103101222801,fine to medium sand
KSGS,370103101222801,brown sandy clay white rock mixed
KSGS,370103101222801,fine to medium sand
KSGS,370103101222801,brown sandy clay white rock mixed
KSGS,370103101222801,fine to medium sand - 15% clay
KSGS,370103101222801,fine to medium sand gravel - loose
KSGS,370103101222801,gray yellow clay mixed
KSGS,370103101222801,fine to medium sand gravel - loose.  404 - hard spot - pull down
KSGS,370103101222801,fine to medium sand gravel - loose
KSGS,370103101222801,gray yellow clay
KSGS,370103101222801,gray yellow clay - small strip of sandstone
KSGS,370103101222801,fine to medium sand - loose
KSGS,370103101222801,yellow gray clay
KSGS,370103101222801,fine to medium sand
KSGS,370103101222801,gray yellow clay - small strip of sand
KSGS,370103101222801,gray yellow clay - 25% fine sand
KSGS,370103101222801,gray yellow clay
KSGS,370103101222801,gray yellow clay - 35% fine sand
KSGS,373504101350801,Topsoil
KSGS,373504101350801,"Brown clay, caliche"
KSGS,373504101350801,Brown sticky clay
KSGS,373504101350801,"Brown and gray sticky clay, few sand"
KSGS,373504101350801,Fine sand
KSGS,373504101350801,Brown sticky clay
KSGS,373504101350801,"Fine to medium sand, few coarse, few clay"
KSGS,373504101350801,"Brown clay, limerock"
KSGS,373504101350801,"Brown clay, some sands"
KSGS,373504101350801,"Fine to small sand, tight clay"
KSGS,373504101350801,"Brown clay, sands"
KSGS,373504101350801,"Fine to medium coarse sand, small gravel, brown rock"
KSGS,373504101350801,"Brown clay, tight sand"
KSGS,373504101350801,"Fine to medium coarse sand, small gravel, brown rock"
KSGS,373504101350801,"Yellow, soapstone, some sandstone"
KSGS,373504101350801,"Shale, soapstone, sluffing clay"
KSGS,373504101350801,"Sandstone, soapstone, sluffing clay"
KSGS,373504101350801,"Soapstone, sandstone"
KSGS,373504101350801,"Soapstone, sandstone, tight sluffy clay"
KSGS,373504101350801,Hard limestone
KSGS,373504101350801,"Soapstone, sandstone, tightsluffy clay"
KSGS,373504101350801,"Soapstone, hard limestone"
KSGS,373504101350801,"Soapstone, sandstone"
KSGS,373504101350801,Sandstone
KSGS,380156100543801,topsoil
KSGS,380156100543801,brown clay
KSGS,380156100543801,"coarse sand, loose"
KSGS,380156100543801,brown sandy clay
KSGS,380156100543801,"medium to coarse sand, some small gravel"
KSGS,380156100543801,"brown clay, cemented sand streaks"
KSGS,380156100543801,"medium-coarse sand, small gravel, brown clay streak"
KSGS,380156100543801,"coarse sand, small gravel"
KSGS,380156100543801,"brown clay, fine-medium sand streaks"
KSGS,380156100543801,"coarse sand, small gravel, loose"
KSGS,380156100543801,"brown clay, coarse sand streaks"
KSGS,380156100543801,"medium to coarse sand, loose"
KSGS,380156100543801,"sandy brown clay, few cemented sand streaks"
KSGS,380156100543801,"coarse sand, small gravel, loose"
KSGS,380156100543801,"brown clay, few coarse sand streaks"
KSGS,380156100543801,"coarse sand, gravel, white broken rock"
KSGS,380156100543801,"yellow shale, few coarse sand streaks"
KSGS,380156100543801,black shale
KSGS,373231100025401,surface
KSGS,373231100025401,brown sandy clay
KSGS,373231100025401,briddley brown clay
KSGS,373231100025401,caliche clay
KSGS,373231100025401,sand and fine gravel
KSGS,373231100025401,caliche and brown clay
KSGS,373231100025401,sand and gravel
KSGS,373231100025401,brown caliche clay
KSGS,373231100025401,A-1 sand and gravel
KSGS,373231100025401,sandy clay
KSGS,373231100025401,caliche clay
KSGS,374847100391201,silt
KSGS,374847100391201,sandy clay
KSGS,374847100391201,sand gravel
KSGS,374847100391201,sandy clay
KSGS,374847100391201,fine sand medium sand clay
KSGS,374847100391201,sandy clay
KSGS,374847100391201,sand
KSGS,374847100391201,sandy clay
KSGS,374847100391201,fine sand medium sand
KSGS,374847100391201,sandy clay
KSGS,374847100391201,clay
KSGS,374847100391201,shale
KSGS,370958101055501,sand very few clay st.
KSGS,370958101055501,"brown clay, few sand st."
KSGS,370958101055501,sand fine to med
KSGS,370958101055501,"brown clay, few ledges, very few sand st."
KSGS,370958101055501,brown clay and limerock ledges
KSGS,370958101055501,"brown clay, ledges and sand st."
KSGS,370958101055501,"brown clay, very few ledges"
KSGS,370958101055501,"brown clay, few ledges"
KSGS,370958101055501,"brown clay, few broken rock and very few sand st."
KSGS,370958101055501,"sand fine med., few coarse; few, small gravel and clay st."
KSGS,370958101055501,"brown clay, few sand st.  Fine to med., mixed"
KSGS,370958101055501,"fine sand, very fine"
KSGS,370958101055501,"brown clay, very few sand st."
KSGS,370958101055501,brown clay and sand st.  Fine to med
KSGS,370958101055501,"sand fine, med., some coarse, few, small gravel, few limerock, few clay st.  Used some water"
KSGS,370958101055501,"sand fine med. Some, coarse, few, small limerock and a lot of clay st.  Used water"
KSGS,370958101055501,"sand fine, med. And a  lot of clay"
KSGS,370958101055501,"sand fine med., some coarse, few, small limerock.  Few clay st.  Used some water"
KSGS,370958101055501,sand fine med. And clay
KSGS,370958101055501,"sand fine medium coarse; very few, small gravel.  Few limerock, few clay st.  Loose in places.  Used some water"
KSGS,370958101055501,brown clay
KSGS,370958101055501,"sand fine med., few coarse, clay st."
KSGS,370958101055501,"sand fine medium coarse; very few, small gravel and very few clay st.  Used some water"
KSGS,370958101055501,red bed.  Very hard at 630
KSGS,372405100473901,silt
KSGS,372405100473901,"sandy clay, caliche"
KSGS,372405100473901,"clay, caliche"
KSGS,372405100473901,"caliche, clay"
KSGS,372405100473901,"sandy clay, fine sand, medium sand"
KSGS,372405100473901,"sandy clay, sand, caliche"
KSGS,372405100473901,clay
KSGS,372405100473901,"sandy clay, sand, caliche"
KSGS,372405100473901,"sand, sandy clay"
KSGS,372405100473901,"sand, fine gravel"
KSGS,372405100473901,"sand, fine gravel, clay"
KSGS,372405100473901,"sand, fine gravel, caliche"
KSGS,372405100473901,"sandy clay, caliche, limestone"
KSGS,372405100473901,"sandstone, rock"
KSGS,372405100473901,"sandstone, sandy clay"
KSGS,372405100473901,"sandstone, sandy clay"
KSGS,372405100473901,"sandstone, shale, caliche"
KSGS,372405100473901,shale
KSGS,372405100473901,shale
KSGS,373209100035801,SILT
KSGS,373209100035801,CLAY SANDY CLAY
KSGS,373209100035801,SANDY CLAY COARSE GRAVEL CALICHE
KSGS,373209100035801,SAND COARSE GRAVEL
KSGS,373209100035801,FINE SAND MEDIUM SAND
KSGS,373209100035801,CLAY
KSGS,373209100035801,SAND CLAY FINE GRAVEL
KSGS,373209100035801,SANDY CLAY SAND FINE GRAVEL
KSGS,373209100035801,SAND GRAVEL CLAY
KSGS,373209100035801,SAND FINE GRAVEL
KSGS,373209100035801,CLAY SAND ROCK
KSGS,373209100035801,SHALE
KSGS,374047101153402,Surface
KSGS,374047101153402,Fine sand and clay
KSGS,374047101153402,Clay
KSGS,374047101153402,Clay and sandy clay
KSGS,374047101153402,Clay with fine sand strips
KSGS,374047101153402,Medium to coarse sand with clay breakers
KSGS,374047101153402,Clay with fine to medium sand strips
KSGS,374047101153402,Medium to coarse sand with clay breakers
KSGS,374047101153402,Clay
KSGS,374047101153402,Fine to medium sand with clay strips
KSGS,372802100104801,topsoil
KSGS,372802100104801,brown sandy clay and some fine sand streaks
KSGS,372802100104801,gray clay and some lime rock
KSGS,372802100104801,sand fine to medium
KSGS,372802100104801,blue clay and brown clay
KSGS,372802100104801,sand fine to medium with lots of clay streak some lime rock ledges
KSGS,372802100104801,sand fine to medium
KSGS,372802100104801,sand fine to medium coarse small gravel
KSGS,372802100104801,sand fine to medium with some clay streaks and lime rock ledges
KSGS,372802100104801,sand fine to small cemented in places
KSGS,372802100104801,sand fine to small with small brown and tan rock
KSGS,372802100104801,gray shale with some hard brown rock ledges
KSGS,375459100195001,Top soil
KSGS,375459100195001,Brown clay
KSGS,375459100195001,Caliche and sand rock
KSGS,375459100195001,Caliche and clay
KSGS,375459100195001,"Sand fine med. coarse and small gravel, loose, used lots of water, very small clay streaks"
KSGS,375459100195001,"Brown clay, gyp rock and sand"
KSGS,375459100195001,"Sand fine med. coarse, some gyp rock and brown sandy clay, loose in places, firm in places, used water"
KSGS,375459100195001,"Sand fine med. coarse, small gravel and small white rock, loose, used water"
KSGS,375459100195001,"Sand fine med. coarse, brown sandy clay, fairly loose, used water"
KSGS,375459100195001,Brown clay
KSGS,375459100195001,"Sand fine med. coarse, med. small gravel and white and tan rock, fairly loose, used water"
KSGS,375459100195001,Yellow clay
KSGS,375459100195001,Shale
KSGS,375331100585701,fine sand
KSGS,375331100585701,medium to coarse sand and gravel
KSGS,375331100585701,brown clay
KSGS,375331100585701,fine to medium sand
KSGS,375331100585701,"brown clay, tight"
KSGS,375331100585701,fine to medium sand
KSGS,375331100585701,gray clay
KSGS,375331100585701,fine to medium sand
KSGS,375331100585701,gray clay with sand streaks
KSGS,375331100585701,fine to medium sand
KSGS,375331100585701,"fine to medium sand, medium tight"
KSGS,375331100585701,"fine to medium sand, loose, clean"
KSGS,375331100585701,brown clay with sand streaks
KSGS,375331100585701,fine to medium sand with clay streaks
KSGS,375331100585701,brown clay
KSGS,375331100585701,"fine to coarse sand, loose"
KSGS,375331100585701,"fine sand, tight"
KSGS,375331100585701,clay
KSGS,375331100585701,black shale
KSGS,374700101032601,fine sand
KSGS,374700101032601,brown clay
KSGS,374700101032601,fine to medium sand and gravel streaks of coarse gravel loose
KSGS,374700101032601,medium to coarse gravel loose
KSGS,374700101032601,brown clay
KSGS,374700101032601,fine to medium sand and gravel loose
KSGS,374700101032601,brown clay
KSGS,374700101032601,fine to medium sand and gravel loose
KSGS,374700101032601,medium to coarse gravel loose (small hard streaks)
KSGS,374700101032601,brown clay
KSGS,374700101032601,fine to medium sand and gravel loose
KSGS,374700101032601,brown clay
KSGS,374700101032601,fine to medium sand and gravel 10% clay loose
KSGS,374700101032601,brown sandy clay
KSGS,374700101032601,fine to medium sand and gravel 10% clay loose
KSGS,374700101032601,brown sandy clay streaks of fine to medium sand and fine gravel 30% loose
KSGS,374700101032601,fine to medium sand and gravel loose
KSGS,374700101032601,brown clay tight
KSGS,374700101032601,fine to medium sand and gravel 10% clay loose
KSGS,374700101032601,brown clay and yellow clay with brown rock tight
KSGS,374700101032601,shale hard
KSGS,370823101464001,sand / sandy clay
KSGS,370823101464001,sand / md. gravel
KSGS,370823101464001,clay
KSGS,370823101464001,sand
KSGS,370823101464001,clay
KSGS,370823101464001,clay / sand streaks
KSGS,370823101464001,sandy clay
KSGS,370823101464001,sand
KSGS,370823101464001,sand / sandy clay
KSGS,370823101464001,sandstone
KSGS,370823101464001,red clay / sandstone
KSGS,374608101152801,sand
KSGS,374608101152801,brown clay
KSGS,374608101152801,medium to coarse gravel
KSGS,374608101152801,brown clay
KSGS,374608101152801,blue clay
KSGS,374608101152801,"fine to medium sand and gravel, loose, streaks of coarse gravel"
KSGS,374608101152801,"brown clay, streaks of gravel"
KSGS,374608101152801,"fine to medium sand and gravel, streaks of coarse gravel, loose"
KSGS,374608101152801,brown sandy clay
KSGS,374608101152801,"brown, gray, red, and yellow clay, hard"
KSGS,374608101152801,"blue shale, hard"
KSGS,374402100102801,silt
KSGS,374402100102801,fine sand clay
KSGS,374402100102801,fine sand medium sand clay
KSGS,374402100102801,clay
KSGS,374402100102801,sand fine gravel rock
KSGS,374402100102801,sand gravel
KSGS,374402100102801,sand gravel clay
KSGS,374402100102801,sand gravel
KSGS,374402100102801,clay
KSGS,374402100102801,shale
KSGS,374402100102801,shale
KSGS,375744100410801,top soil
KSGS,375744100410801,brown clay
KSGS,375744100410801,brown clay with white rock mixed
KSGS,375744100410801,fine to medium sand and gravel
KSGS,375744100410801,"fine to medium sand and gravel, cemented"
KSGS,375744100410801,brown clay with gravel streaks
KSGS,375744100410801,brown clay
KSGS,375744100410801,brown clay with streakof gravel
KSGS,375744100410801,brown clay
KSGS,375744100410801,brown clay with gravel streaks
KSGS,375744100410801,fine to medium sand and gravel
KSGS,375744100410801,brown clay
KSGS,375744100410801,brown clay with gravel streaks
KSGS,375744100410801,fine to medium sand and gravel
KSGS,375744100410801,brown yellow clay
KSGS,375744100410801,shale
KSGS,374924101014401,top soil
KSGS,374924101014401,fine sand - loose
KSGS,374924101014401,brown clay - gravel streak
KSGS,374924101014401,medium coarse gravel - streak of clay
KSGS,374924101014401,coarse gravel
KSGS,374924101014401,brown clay
KSGS,374924101014401,blue clay
KSGS,374924101014401,blue clay - small sand streak
KSGS,374924101014401,brown clay - 20% gravel
KSGS,374924101014401,fine to medium sand and gravel
KSGS,374924101014401,brown sandy clay
KSGS,374924101014401,fine to medium sand and gravel
KSGS,374924101014401,brown sandy clay
KSGS,374924101014401,fine to medium sand and gravel
KSGS,374924101014401,brown sandy clay - small strip of sandstone
KSGS,374924101014401,fine to medium sand
KSGS,374924101014401,brown clay - small gravel streak
KSGS,374924101014401,fine to medium sand and gravel
KSGS,374924101014401,brown clay
KSGS,374924101014401,fine sand
KSGS,374924101014401,brown clay - hard pull down 300
KSGS,374924101014401,brown yellow sandstone mixed - hard pull down 400
KSGS,374924101014401,shale
KSGS,374721100422101,topsoil
KSGS,374721100422101,sandy brown clay
KSGS,374721100422101,fine to medium sand and gravel - some coarse
KSGS,374721100422101,fine to medium sand and gravel with strips of brown clay
KSGS,374721100422101,brown sandy clay
KSGS,374721100422101,fine to medium sand and gravel with strips of brown clay
KSGS,374721100422101,brown clay
KSGS,374721100422101,fine to medium sand and gravel with strips of brown clay
KSGS,374721100422101,brown clay
KSGS,374721100422101,fine to medium sand and gravel with strips of brown clay
KSGS,374721100422101,white clay
KSGS,374721100422101,brown clay
KSGS,374721100422101,fine to medium sand with layers of brown clay
KSGS,374721100422101,hard brown clay with strips of sand - 30% sand
KSGS,374721100422101,brown clay with strips of sand - 10% sand
KSGS,374721100422101,fine to medium sand and gravel
KSGS,374721100422101,brown clay with strips of sand - 50% sand
KSGS,374721100422101,fine to medium sand and gravel with yellow and brown rock with strips of brown clay
KSGS,374721100422101,brown clay
KSGS,374721100422101,fine sand
KSGS,374721100422101,brown clay with yellow clay and some brown rock - 5% - fine sand 10%
KSGS,374721100422101,shale
KSGS,372113100594501,surface
KSGS,372113100594501,brown clay caliche
KSGS,372113100594501,sand fine to medium coarse small to few medium gravel
KSGS,372113100594501,sand fine to medium coarse some small gravel
KSGS,372113100594501,sand fine to medium coarse small gravel some medium few large thin clay (used some water)
KSGS,372113100594501,sand fine to medium coarse thin clay few small and medium gravel
KSGS,372113100594501,sand fine to medium coarse thin clays (tight)
KSGS,372113100594501,brown clay
KSGS,372113100594501,sand fine to medium coarse
KSGS,372113100594501,sand fine to medium coarse (fairly loose)
KSGS,372113100594501,brown and white clay limerock (sluffy sands)
KSGS,372113100594501,cemented sand tan sandstone brown clay cemented
KSGS,372113100594501,tan sandstone (fairly loose) few rounded soapstone lost 50% circulation mixed brand
KSGS,372113100594501,yellow and tan sandstone (fairly loose) used water
KSGS,372113100594501,yellow soapstone
KSGS,372113100594501,red bed (hard)
KSGS,370945100335101,silt
KSGS,370945100335101,clay caliche
KSGS,370945100335101,clay caliche
KSGS,370945100335101,clay
KSGS,370945100335101,clay limestone
KSGS,370945100335101,sand fine gravel med gravel
KSGS,370945100335101,sandy clay sand
KSGS,370945100335101,sand
KSGS,370945100335101,clay
KSGS,370945100335101,sand clay
KSGS,370945100335101,clay sand
KSGS,370945100335101,clay
KSGS,370945100335101,sand fine gravel
KSGS,370945100335101,sand fine gravel med gravel
KSGS,370945100335101,clay sand
KSGS,370945100335101,fine sand
KSGS,370945100335101,clay
KSGS,370945100335101,fine sand medium sand clay
KSGS,370945100335101,clay
KSGS,370945100335101,fine sand
KSGS,370945100335101,clay limestone sand
KSGS,370945100335101,fine sand clay
KSGS,370945100335101,clay limestone
KSGS,370945100335101,fine sand
KSGS,370945100335101,sand
KSGS,370945100335101,shale
KSGS,373336101160201,SILT
KSGS,373336101160201,SANDY CLAY
KSGS,373336101160201,CLAY
KSGS,373336101160201,FINE SAND
KSGS,373336101160201,CLAY
KSGS,373336101160201,CLAY ROCK
KSGS,373336101160201,CLAY FINE GRAVEL
KSGS,373336101160201,CLAY SAND
KSGS,373336101160201,SAND FINE SAND MEDIUM SAND
KSGS,373336101160201,CLAY
KSGS,373336101160201,CLAY ROCK
KSGS,373336101160201,CLAY
KSGS,373336101160201,SHALE
KSGS,373336101160201,SHALE SANDSTONE
KSGS,373336101160201,SHALE
KSGS,373336101160201,SHALE SANDSTONE
KSGS,373336101160201,SHALE
KSGS,373336101160201,SHALE SANDSTONE
KSGS,373336101160201,SHALE
KSGS,373336101160201,SHALE
KSGS,372236101324601,surface
KSGS,372236101324601,clay
KSGS,372236101324601,medium sand
KSGS,372236101324601,clay
