site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#1023703,level,no trend,False,0.2109849131667991,-1.250861771905191,-0.2222222222222222,-34,696.0,-0.01999999999999957,-32.005,-1.599999999999966
#1023902,level,decreasing,True,5.317385485259507e-06,-4.551859450865289,-0.7908496732026143,-121,695.0,-0.03999999999999915,-60.38500000000001,-3.199999999999932
#1024401,level,decreasing,True,3.601930873697867e-05,-4.131634337505023,-0.7189542483660131,-110,696.0,-0.03000000000000114,-57.96999999999999,-2.400000000000091
#1024501,level,decreasing,True,0.0005990385621239547,-3.432049340512892,-0.5947712418300654,-91,687.6666666666666,-0.01374999999999993,-49.683125,-1.099999999999994
#1024802,level,increasing,True,0.0001750202392312161,3.752585315715572,0.6535947712418301,100,696.0,0.05250000000000021,-55.55625,4.200000000000017
#1024901,level,increasing,True,0.04887959235679107,1.969640449604283,0.3464052287581699,53,697.0,0.02846153846153881,-56.35692307692307,2.276923076923105
#1025103,level,increasing,True,0.0002695195722353105,3.642961109341106,0.6140350877192983,105,815.0,0.03000000000000019,-75.1,2.400000000000015
#1025301,level,increasing,True,6.6264587150755e-08,5.401015803505587,0.9064327485380117,155,813.0,0.1014285714285726,-90.93285714285715,8.114285714285804
#1025402,level,increasing,True,4.556609702888181e-07,5.044099997549223,0.847953216374269,145,815.0,0.04076923076923086,-79.90692307692308,3.261538461538469
#1025914,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.3626666666666675,-74.31599999999999,-29.0133333333334
#1026102,level,decreasing,True,0.0001798561902641715,-3.745749224774926,-0.631578947368421,-108,816.0,-0.2066666666666663,-85.82000000000001,-16.5333333333333
#1026402,level,decreasing,True,7.133408641557537e-08,-5.387777999768161,-0.9064327485380117,-155,817.0,-0.3100000000000001,-99.64999999999999,-24.80000000000001
#1026502,level,decreasing,True,4.914153728385884e-08,-5.454388937365706,-0.9477124183006536,-145,697.0,-0.5341666666666663,-117.0945833333333,-42.73333333333331
#1026603,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.65625,-116.446875,-52.5
#1026802,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-1.053076923076923,-93.29884615384616,-84.24615384615382
#1027501,level,decreasing,True,1.721682223454479e-07,-5.227122731642134,-0.9084967320261438,-139,697.0,-0.4899999999999996,-132.965,-39.19999999999997
#1027902,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-1.21,-103.93,-96.79999999999998
#1028103,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.6900000000000001,-115.33,-55.2
#1028301,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.4518181818181817,-104.0145454545454,-36.14545454545454
#1028501,level,decreasing,True,5.737299082486658e-07,-4.999856525918563,-0.869281045751634,-133,697.0,-0.7599999999999909,-120.1850000000001,-60.79999999999927
#1029201,level,decreasing,True,2.518016084529506e-08,-5.57202062030494,-0.9673202614379085,-148,696.0,-0.3699999999999998,-89.01,-29.59999999999999
#1029302,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.1675000000000004,-101.50625,-13.40000000000003
#1029603,level,decreasing,True,7.6426815986963e-09,-5.77615534661554,-0.9707602339181286,-166,816.0,-0.6866666666666664,-90.37,-54.93333333333332
#1030103,level,decreasing,True,1.721682223454479e-07,-5.227122731642134,-0.9084967320261438,-139,697.0,-0.3333333333333333,-89.79666666666667,-26.66666666666666
#1030301,level,no trend,False,0.7618733947779845,0.3030216076314281,0.05882352941176471,9,697.0,0.01222222222222216,-50.23388888888888,0.9777777777777727
#1030505,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.2108333333333334,-78.31291666666665,-16.86666666666667
#1031201,level,decreasing,True,0.0003170373965184492,-3.600965706999791,-0.6274509803921569,-96,696.0,-0.2063636363636366,-61.64090909090908,-16.50909090909093
#1031601,level,decreasing,True,1.244952963386226e-06,-4.84834572210285,-0.8431372549019608,-129,697.0,-0.1120000000000005,-62.858,-8.960000000000036
#1031803,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.7133333333333335,-89.98,-57.06666666666668
#1032301,level,decreasing,True,3.126904049466361e-06,-4.662302968010255,-0.8104575163398693,-124,696.0,-0.1749999999999972,-56.21250000000003,-13.99999999999977
#1032502,level,decreasing,True,0.0006520313225351071,-3.408993085853566,-0.5947712418300654,-91,697.0,-0.05411764705882322,-48.565,-4.329411764705857
#1032601,level,decreasing,True,1.306200611095321e-05,-4.359063750578694,-0.7581699346405228,-116,696.0,-0.12,-42.54499999999999,-9.599999999999998
#1032703,level,decreasing,True,0.0001750202392312161,-3.752585315715572,-0.6535947712418301,-100,696.0,-0.2233333333333339,-87.94166666666666,-17.86666666666671
#1033103,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.978749999999998,-116.785625,-78.29999999999984
#1033311,level,decreasing,True,8.474900488053549e-07,-4.924101124010706,-0.8562091503267973,-131,697.0,-0.4180000000000007,-99.217,-33.44000000000005
#1033803,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.592222222222222,-112.5361111111111,-47.37777777777776
#1033902,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.8000000000000005,-89.86500000000001,-64.00000000000004
#1034102,level,decreasing,True,6.337286251323349e-09,-5.807604856892953,-0.9766081871345029,-167,817.0,-1.185625000000001,-92.919375,-94.85000000000007
#1034403,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.8468749999999998,-113.088125,-67.74999999999999
#1034603,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.7616666666666655,-97.885,-60.93333333333324
#1034802,level,decreasing,True,4.914153728385884e-08,-5.454388937365706,-0.9477124183006536,-145,697.0,-0.3560000000000002,-96.954,-28.48000000000002
#1035503,level,decreasing,True,2.585941272226222e-07,-5.151367329734278,-0.8954248366013072,-137,697.0,-0.8087499999999999,-90.86562500000001,-64.69999999999999
#1035603,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.7030769230769232,-84.00884615384615,-56.24615384615385
#1035706,level,decreasing,True,9.60084745038614e-09,-5.737633714038821,-0.9649122807017544,-165,817.0,-0.25,-90.38,-20.0
#1035707,level,decreasing,True,3.880385901489092e-08,-5.496210815947049,-0.954248366013072,-146,696.0,-0.6292857142857144,-99.98107142857143,-50.34285714285716
#1035802,level,decreasing,True,7.505330357204798e-08,-5.378633535457849,-0.934640522875817,-143,697.0,-0.9484615384615384,-97.73807692307693,-75.87692307692306
#1035904,level,decreasing,True,2.172249380372193e-08,-5.597691428330557,-0.9415204678362573,-161,817.0,-0.8216666666666667,-101.055,-65.73333333333333
#1036102,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.9821428571428571,-82.43678571428572,-78.57142857142857
#1036602,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.6933333333333328,-89.32166666666667,-55.46666666666663
#1037403,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.87888888888889,-77.55444444444444,-70.3111111111112
#1037601,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-1.375999999999999,-73.74600000000001,-110.0799999999999
#1038101,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.416363636363636,-82.53590909090909,-113.3090909090909
#1038401,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-1.5,-78.345,-120.0
#1038603,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-1.477857142857143,-79.19321428571428,-118.2285714285714
#1039702,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-1.556,-73.43599999999999,-124.48
#1039901,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-1.38,-75.14,-110.4
#1040301,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.4191666666666667,-57.45708333333333,-33.53333333333334
#1040402,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-1.248,-84.83699999999999,-99.84000000000003
#1040502,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.065833333333334,-95.71041666666667,-85.26666666666671
#1040503,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-1.283333333333331,-88.47166666666668,-102.6666666666665
#1041209,level,decreasing,True,6.337286251323349e-09,-5.807604856892953,-0.9766081871345029,-167,817.0,-1.030000000000001,-93.79999999999998,-82.40000000000009
#1041403,level,decreasing,True,6.766400422186791e-07,-4.967951142643369,-0.8362573099415205,-143,817.0,-0.7709999999999994,-75.501,-61.67999999999995
#1042104,level,decreasing,True,7.505330357204798e-08,-5.378633535457849,-0.934640522875817,-143,697.0,-1.585,-86.2825,-126.8
#1042202,level,decreasing,True,3.244187474216176e-08,-5.527720285476424,-0.9298245614035088,-159,817.0,-0.4081818181818177,-85.69636363636364,-32.65454545454541
#1042302,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-1.623076923076924,-85.91230769230768,-129.8461538461539
#1042506,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-1.900000000000001,-83.13,-152.0000000000001
#1043501,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.3775,-64.28625,-110.2
#1044103,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.9450000000000003,-92.1375,-75.60000000000002
#1044203,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.4011764705882357,-85.32,-32.09411764705886
#1044404,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.960000000000008,-78.12499999999993,-156.8000000000006
#1044503,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.768333333333333,-72.70916666666668,-141.4666666666667
#1044711,level,decreasing,True,8.474900488053549e-07,-4.924101124010706,-0.8562091503267973,-131,697.0,-0.8716666666666661,-37.15583333333333,-69.73333333333329
#1045702,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.4169230769230771,-45.21115384615385,-33.35384615384616
#1045804,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.432857142857143,-66.60071428571429,-34.62857142857144
#1045904,level,decreasing,True,3.817484119705838e-06,-4.621079516379278,-0.803921568627451,-123,697.0,-0.3723076923076915,-67.54538461538463,-29.78461538461531
#1046302,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.123076923076924,-68.81384615384614,-89.8461538461539
#1046407,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.6883333333333326,-73.19916666666667,-55.06666666666661
#1046601,level,decreasing,True,1.624853296355866e-08,-5.64783042466283,-0.9803921568627451,-150,696.0,-0.5185714285714289,-74.51714285714286,-41.48571428571431
#1048302,level,decreasing,True,1.042665287442901e-09,-6.102738247715238,-0.9947368421052631,-189,949.0,-0.9906944444444443,-73.61340277777778,-79.25555555555555
#1051909,level,decreasing,True,0.0,-11.14487986931104,-0.872280701754386,-2486,49716.66666666666,-0.06131367854939494,-42.15657038773102,-4.905094283951596
#1052406,level,decreasing,True,6.850939826552604e-07,-4.965542185441817,-0.8627450980392157,-132,696.0,-0.1792307692307696,-34.38653846153846,-14.33846153846157
#1052509,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.1235714285714286,-26.46464285714286,-9.885714285714288
#1052601,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.3559999999999995,-21.40900000000001,-28.47999999999996
#1052715,level,decreasing,True,0.006355087077525301,-2.728874571311146,-0.4619883040935672,-79,817.0,-0.1292307692307692,-43.58692307692308,-10.33846153846154
#1052813,level,decreasing,True,8.474900488053549e-07,-4.924101124010706,-0.8562091503267973,-131,697.0,-0.1577777777777776,-26.99888888888889,-12.62222222222221
#1053101,level,decreasing,True,3.880385901489092e-08,-5.496210815947049,-0.954248366013072,-146,696.0,-0.1623076923076923,-30.47538461538461,-12.98461538461538
#1053307,level,decreasing,True,2.172249380372193e-08,-5.597691428330557,-0.9415204678362573,-161,817.0,-0.7284615384615378,-50.73384615384616,-58.27692307692303
#1053602,level,decreasing,True,0.0,-13.08303194872012,-0.9968354430379747,-3150,57933.33333333334,-0.1323811429157692,-37.07420508874525,-10.59049143326154
#1054301,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-1.158461538461539,-74.61307692307693,-92.67692307692309
#1054404,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.9966666666666661,-47.28333333333333,-79.73333333333329
#1054801,level,decreasing,True,5.609731057454326e-08,-5.430814855986162,-0.9411764705882353,-144,693.3333333333334,-1.157500000000001,-48.07624999999999,-92.60000000000005
#1055305,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-1.011666666666667,-80.74583333333334,-80.93333333333334
#1056203,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.6300000000000002,-79.42999999999999,-50.40000000000002
#1056403,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.6223076923076926,-82.33538461538461,-49.78461538461541
#1056602,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.5020000000000001,-75.642,-40.16000000000001
#1056801,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-0.4908333333333332,-72.49208333333334,-39.26666666666666
#1057,level,decreasing,True,2.244400560957871e-07,-5.177864571205765,-0.8713450292397661,-149,817.0,-0.1666666666666667,-47.18,-13.33333333333333
#1058,level,decreasing,True,9.60084745038614e-09,-5.737633714038821,-0.9649122807017544,-165,817.0,-0.4057142857142852,-39.56857142857143,-32.45714285714281
#1060105,level,decreasing,True,1.757732589702243e-06,-4.779452423408554,-0.8300653594771242,-127,695.0,-0.3469230769230773,-30.37115384615384,-27.75384615384619
#1060501,level,no trend,False,0.06904431984775128,1.818129645788569,0.3202614379084967,49,697.0,0.02999999999999971,-38.24499999999999,2.399999999999977
#1060604,level,decreasing,True,0.01000421258591744,-2.575683664867139,-0.4509803921568628,-69,697.0,-0.12,-27.615,-9.600000000000001
#1060802,level,decreasing,True,0.008014957359750774,-2.651439066774996,-0.4640522875816994,-71,697.0,-0.08214285714285705,-34.95178571428572,-6.571428571428564
#1061105,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.7123076923076922,-36.27038461538462,-56.98461538461537
#1061201,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.9023076923076926,-34.76038461538461,-72.18461538461541
#1061404,level,decreasing,True,6.850939826552604e-07,-4.965542185441817,-0.8627450980392157,-132,696.0,-0.221666666666667,-56.35083333333333,-17.73333333333336
#1061604,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.517692307692308,-48.90461538461538,-41.41538461538464
#1062210,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.8549999999999999,-46.9225,-68.39999999999999
#1063601,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.7150000000000016,-55.91749999999999,-57.20000000000013
#1063702,level,decreasing,True,7.83774776147439e-06,-4.469568712563564,-0.7777777777777778,-119,697.0,-0.2821428571428574,-50.40178571428571,-22.57142857142859
#1064105,level,decreasing,True,1.042654296234957e-08,-5.72364022902072,-0.9934640522875817,-152,696.0,-0.6683333333333336,-61.47416666666667,-53.46666666666668
#1064204,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.5288235294117648,-62.46058823529412,-42.30588235294118
#1064803,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-1.041333333333333,-62.66800000000001,-83.30666666666662
#1065,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.4733333333333329,-42.37,-37.86666666666663
#1072,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.4571428571428576,-42.54571428571428,-36.5714285714286
#1073,level,decreasing,True,0.001444356041115924,-3.185637191163722,-0.5380116959064327,-92,816.0,-0.1607142857142857,-50.18357142857143,-12.85714285714286
#1074,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.3239999999999995,-36.671,-25.91999999999996
#1101,level,decreasing,True,1.139910228431518e-07,-5.302878133549991,-0.9215686274509803,-141,697.0,-0.2699999999999996,-48.23,-21.59999999999997
#1102,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.2749999999999986,-51.94750000000001,-21.99999999999989
#1103,level,decreasing,True,6.850939826552604e-07,-4.965542185441817,-0.8627450980392157,-132,696.0,-0.2611111111111105,-50.20555555555556,-20.88888888888884
#1104,level,decreasing,True,1.624853296355866e-08,-5.64783042466283,-0.9803921568627451,-150,696.0,-0.3593333333333334,-51.55066666666667,-28.74666666666667
#1107,level,decreasing,True,0.0007717487490297437,-3.362733331699482,-0.5672514619883041,-97,815.0,-0.03666666666666667,-13.15,-2.933333333333334
#1112803,level,increasing,True,3.199674014631171e-08,5.530144339273563,0.9607843137254902,147,697.0,0.2533333333333335,-44.11833333333334,20.26666666666668
#1120,level,decreasing,True,0.002054718976131742,-3.082207001484488,-0.5052631578947369,-96,950.0,-0.2991176470588223,-67.89338235294119,-23.92941176470579
#1121801,level,no trend,False,0.06354324977858061,-1.855371111337113,-0.3157894736842105,-54,816.0,-0.03571428571428571,-32.00857142857143,-2.857142857142857
#1129703,level,no trend,False,0.1978010270378006,1.287841832433569,0.2287581699346405,35,697.0,0.02124999999999999,-27.730625,1.699999999999999
#1132,level,decreasing,True,3.014403262557863e-07,-5.122544248852576,-0.8596491228070176,-147,812.3333333333334,-0.2529999999999994,-57.31300000000001,-20.23999999999995
#1133,level,decreasing,True,9.74232508887951e-07,-4.896773036107246,-0.8496732026143791,-130,694.0,-0.1799999999999997,-53.105,-14.39999999999998
#1135,level,no trend,False,0.1629844132966407,-1.395104221724558,-0.2315789473684211,-44,950.0,-0.07297619047619042,-58.8017261904762,-5.838095238095233
#1137701,level,decreasing,True,1.209461682138979e-05,-4.37587526258753,-0.7368421052631579,-126,816.0,-0.282,-53.822,-22.56
#1137914,level,decreasing,True,1.757732589702243e-06,-4.779452423408554,-0.8300653594771242,-127,695.0,-0.1645454545454547,-62.61136363636364,-13.16363636363638
#1138109,level,decreasing,True,0.007008953313835775,-2.696418564860262,-0.4705882352941176,-72,693.3333333333334,-0.08250000000000002,-40.36375,-6.600000000000001
#1138402,level,decreasing,True,0.001169823787416036,-3.246137365805978,-0.531578947368421,-101,949.0,-0.09483516483516466,-60.17406593406594,-7.586813186813172
#1138728,level,decreasing,True,2.847738450384441e-05,-4.185312665173673,-0.6842105263157895,-130,950.0,-0.07845238095238066,-35.51470238095239,-6.276190476190453
#1138921,level,decreasing,True,5.504168170800128e-06,-4.544592312128368,-0.7421052631578947,-141,949.0,-0.034201680672269,-30.54008403361345,-2.73613445378152
#1139201,level,decreasing,True,0.01029379490363369,-2.565800719723442,-0.4210526315789473,-80,948.0,-0.02485294117647037,-61.71889705882353,-1.98823529411763
#1139605,level,no trend,False,0.2629105671183505,-1.119538285666111,-0.1929824561403509,-33,817.0,-0.1375000000000011,-59.32249999999999,-11.00000000000009
#1141108,level,decreasing,True,1.739167987402368e-08,-5.636127338212739,-0.9473684210526315,-162,816.0,-0.9174999999999986,-79.39250000000001,-73.39999999999989
#1141506,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.8044444444444454,-73.38,-64.35555555555564
#1141602,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.6154545454545451,-69.8009090909091,-49.23636363636361
#1142315,level,decreasing,True,0.0,-12.76828498602746,-0.9924812030075187,-2904,51692.66666666666,-0.03148367302213528,-55.83237042515886,-2.518693841770823
#1142704,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.6207692307692313,-67.95307692307692,-49.66153846153851
#1144714,level,decreasing,True,3.716963954403241e-07,-5.082909720132906,-0.8823529411764706,-135,695.0,-0.2618181818181814,-65.03954545454546,-20.94545454545451
#1144904,level,decreasing,True,4.519975560279832e-06,-4.585917275191732,-0.7719298245614035,-132,816.0,-0.08999999999999868,-63.29000000000001,-7.199999999999894
#1145314,level,decreasing,True,1.45043796972999e-07,-5.258742532605684,-0.8578947368421053,-163,949.0,-0.09000000000000016,-42.005,-7.200000000000014
#1145408,level,decreasing,True,0.01432574254310826,-2.448989999894618,-0.4152046783625731,-71,817.0,-0.04266666666666671,-68.576,-3.413333333333337
#1145905,level,decreasing,True,0.0006845854339525559,-3.395679203767924,-0.5730994152046783,-98,816.0,-0.03000000000000035,-58.0,-2.400000000000028
#1146101,level,decreasing,True,5.692441242355351e-05,-4.025210333599412,-0.6578947368421053,-125,949.0,-0.03750000000000031,-31.69875,-3.000000000000025
#1146606,level,decreasing,True,0.0001520054036139307,-3.787770095392851,-0.6601307189542484,-101,697.0,-0.1599999999999994,-72.62,-12.79999999999995
#1146701,level,decreasing,True,0.0001117622215889291,-3.863525497300708,-0.673202614379085,-103,697.0,-0.08500000000000085,-68.99249999999999,-6.800000000000068
#1146802,level,decreasing,True,1.663372902771521e-05,-4.30586125838613,-0.7251461988304093,-124,816.0,-0.05166666666666705,-81.235,-4.133333333333364
#1149101,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.624545454545455,-77.86136363636363,-49.9636363636364
#1149404,level,decreasing,True,2.172249380372193e-08,-5.597691428330557,-0.9415204678362573,-161,817.0,-0.3499999999999943,-85.99000000000005,-27.99999999999955
#1149801,level,decreasing,True,1.624853296355866e-08,-5.64783042466283,-0.9803921568627451,-150,696.0,-0.5425000000000004,-77.81375000000001,-43.40000000000003
#1149904,level,decreasing,True,8.505094761801502e-08,-5.356071321407137,-0.9005847953216374,-154,816.0,-0.5749999999999993,-71.72500000000001,-45.99999999999994
#1150203,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.4078571428571424,-68.81821428571429,-32.62857142857139
#1150204,level,decreasing,True,2.172249380372193e-08,-5.597691428330557,-0.9415204678362573,-161,817.0,-0.4787500000000016,-66.69124999999998,-38.30000000000013
#1150605,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.527272727272727,-54.46818181818183,-42.18181818181816
#1150703,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.7960000000000008,-71.874,-63.68000000000006
#1150906,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.3324999999999996,-64.77875,-26.59999999999997
#1151102,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.4084615384615387,-62.13307692307693,-32.67692307692309
#1151403,level,decreasing,True,0.0,-11.87870973212035,-0.911067835118468,-2807,55800.33333333334,-0.1290740740740735,-57.45199346405231,-10.32592592592588
#1151703,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.3515384615384616,-57.41692307692308,-28.12307692307693
#1152305,level,decreasing,True,8.505094761801502e-08,-5.356071321407137,-0.9005847953216374,-154,816.0,-0.1125000000000007,-61.33749999999999,-9.000000000000057
#1153205,level,decreasing,True,7.974629838702896e-07,-4.935987296198734,-0.8304093567251462,-142,816.0,-0.06333333333333352,-50.47,-5.066666666666682
#1153503,level,decreasing,True,1.954839812023934e-06,-4.758037714080973,-0.8011695906432749,-137,817.0,-0.2730000000000004,-72.37299999999999,-21.84000000000003
#1153802,level,decreasing,True,0.01900315160876742,-2.345469140746916,-0.3976608187134503,-68,816.0,-0.01928571428571451,-46.93642857142857,-1.542857142857161
#1153904,level,decreasing,True,0.001124052753703975,-3.257482282037852,-0.5686274509803921,-87,697.0,-0.05625000000000036,-47.94687499999999,-4.500000000000028
#1154101,level,decreasing,True,1.373323881281863e-07,-5.268781402873379,-0.9150326797385621,-140,696.0,-0.05375000000000085,-68.973125,-4.300000000000068
#1154402,level,decreasing,True,6.850939826552604e-07,-4.965542185441817,-0.8627450980392157,-132,696.0,-0.05083333333333329,-56.49291666666667,-4.066666666666663
#1154601,level,decreasing,True,0.001463998058462312,-3.181726880129995,-0.5555555555555556,-85,697.0,-0.06083333333333248,-73.53791666666667,-4.866666666666599
#1155501,level,decreasing,True,0.0003112871830386332,-3.605721216372125,-0.6081871345029239,-104,816.0,-0.06062499999999993,-85.454375,-4.849999999999994
#1155901,level,decreasing,True,6.517493556779108e-05,-3.993245831393135,-0.672514619883041,-115,815.0,-0.05411764705882363,-88.97294117647058,-4.32941176470589
#1156,level,decreasing,True,0.03215723489667544,-2.142450661431945,-0.3526315789473684,-67,949.0,-0.09916666666666672,-40.38291666666667,-7.933333333333338
#1157202,level,decreasing,True,4.822082688704654e-08,-5.457749142622292,-0.9181286549707602,-157,817.0,-0.418235294117647,-66.41588235294118,-33.45882352941176
#1157401,level,decreasing,True,9.60084745038614e-09,-5.737633714038821,-0.9649122807017544,-165,817.0,-0.7292307692307685,-69.38692307692308,-58.33846153846147
#1157702,level,decreasing,True,7.505330357204798e-08,-5.378633535457849,-0.934640522875817,-143,697.0,-0.7130769230769238,-73.16384615384614,-57.04615384615391
#1157901,level,decreasing,True,3.199674014631171e-08,-5.530144339273563,-0.9607843137254902,-147,697.0,-0.6933333333333328,-68.81166666666668,-55.46666666666663
#1158103,level,decreasing,True,9.60084745038614e-09,-5.737633714038821,-0.9649122807017544,-165,817.0,-0.5949999999999999,-67.195,-47.59999999999999
#1158205,level,decreasing,True,3.880385901489092e-08,-5.496210815947049,-0.954248366013072,-146,696.0,-0.74,-67.785,-59.2
#1158801,level,decreasing,True,1.050254663237382e-07,-5.317806856914029,-0.8947368421052632,-153,817.0,-0.3183333333333334,-29.465,-25.46666666666667
#1158901,level,no trend,False,0.860713797391357,0.1754656015858991,0.03508771929824561,6,812.0,0.001176470588235269,-31.74058823529412,0.09411764705882153
#1159202,level,decreasing,True,2.071758697930193e-08,-5.605899741181419,-0.9738562091503268,-149,697.0,-0.721428571428571,-67.81785714285715,-57.71428571428568
#1159405,level,no trend,False,0.5444860568259107,0.6060432152628562,0.1111111111111111,17,697.0,0.04999999999999893,-28.67999999999999,3.999999999999915
#1159503,level,increasing,True,0.04887959235679107,1.969640449604283,0.3464052287581699,53,697.0,0.07666666666666681,-28.18666666666667,6.133333333333345
