AgencyCd,SiteNo,Time,Original Parameter,Original Direction,Original Unit,Original Value,Accuracy Unit,Accuracy Value,Depth to Water Below Land Surface in ft.,Water level in feet relative to NAVD88,Comment,Observation Method,Data Provided by,
KSGS,390959100220002,2015-12-22T00:00:00-06:00,,,Feet,27.38,ft,Unknown,27.38,2583,,Steel-tape measurement,DWR
KSGS,390959100220002,2016-12-28T15:34:05-06:00,,,Feet,24.82,ft,0.01,24.82,2585,,Steel-tape measurement,DWR
KSGS,390959100220002,2018-01-03T00:00:00-06:00,,,Feet,21.85,ft,0.01,21.85,2588,,Steel-tape measurement,DWR
KSGS,390959100220002,2019-01-02T12:14:00-06:00,,,Feet,18.09,ft,0.01,18.09,2592,,Steel-tape measurement,DWR
KSGS,390959100220002,2020-01-08T11:06:00-06:00,,,Feet,14.97,ft,0.01,14.97,2595,,Steel-tape measurement,DWR
KSGS,390959100220002,2021-01-04T12:56:00-06:00,,,Feet,17.77,ft,0.01,17.77,2592,,Steel-tape measurement,DWR
KSGS,394612101323501,1993-01-26T00:00:00-06:00,,,Feet,226.45,ft,Unknown,226.45,3253,,Steel-tape measurement,Unknown
KSGS,394612101323501,1994-01-05T00:00:00-06:00,,,Feet,225.68,ft,Unknown,225.68,3253,,Steel-tape measurement,Unknown
KSGS,394612101323501,1995-01-11T00:00:00-06:00,,,Feet,225.43,ft,Unknown,225.43,3254,,Steel-tape measurement,Unknown
KSGS,394612101323501,1996-01-23T00:00:00-06:00,,,Feet,225.49,ft,Unknown,225.49,3254,,Steel-tape measurement,Unknown
KSGS,394612101323501,1997-01-03T00:00:00-06:00,,,Feet,224.59,ft,0.01,224.59,3254,,Steel-tape measurement,KGS
KSGS,394612101323501,1998-01-04T10:03:08-06:00,,,Feet,226.51,ft,0.01,226.51,3252,,Steel-tape measurement,KGS
KSGS,394612101323501,1999-01-03T10:10:07-06:00,,,Feet,226.97,ft,0.01,226.97,3252,,Steel-tape measurement,KGS
KSGS,394612101323501,2000-01-04T10:26:27-06:00,,,Feet,226.72,ft,0.01,226.72,3252,,Steel-tape measurement,KGS
