date,normalised_level
2001-03-01,-0.17579213076448497
2001-06-01,-0.19981488019713112
2001-09-01,-0.18791077483228177
2001-12-01,-0.18642719903772154
2002-03-01,-0.08467767018492811
2002-06-01,0.00544807843356665
2002-09-01,-0.15733106468735278
2002-12-01,0.013198914553964158
2003-03-01,-0.14683670075820623
2003-06-01,0.017865660851146714
2003-09-01,-0.1309542530931497
2003-12-01,0.004938044988747947
2004-03-01,-0.10512689204839869
2004-06-01,0.009514012499497682
2004-09-01,-0.08131850338554614
2004-12-01,0.0038510884670088785
2005-03-01,0.018377885370628455
2005-06-01,0.021162364147848223
2005-09-01,0.021894566727876708
2005-12-01,0.02295397232714702
2006-03-01,-0.014762626684133787
2006-06-01,0.027865660851148277
2006-09-01,-0.020773093672856884
2006-12-01,0.02874239281483426
2007-03-01,-0.003955447962704639
2007-06-01,0.049012958630699544
2007-09-01,0.07266893531264647
2007-12-01,0.07768223319671463
2008-03-01,0.08917779379553537
2008-06-01,0.08508667657942226
2008-09-01,0.08100226864597755
2008-12-01,0.06746484189236845
2009-03-01,0.01796944595493244
2009-06-01,0.02050302348850863
2009-09-01,0.07963875493584549
2009-12-01,-0.04112866300366491
2010-03-01,0.09887133699633655
2010-06-01,
2010-09-01,0.14637133699633065
2010-12-01,0.10923076923076813
2011-03-01,0.1292307692307677
2011-06-01,
2011-09-01,0.079230769230767
2011-12-01,0.034230769230767066
2012-03-01,0.19851190476190084
2012-06-01,-0.03148809523810314
2012-09-01,0.049230769230767635
2012-12-01,0.049230769230767635
2013-03-01,0.30851190476190027
2013-06-01,
2013-09-01,0.019230769230768274
2013-12-01,0.3692307692307679
2014-03-01,
2014-06-01,
2014-09-01,-0.010769230769232863
2014-12-01,0.03852500151048943
2015-03-01,0.22851190476190197
2015-06-01,
2015-09-01,-0.34076923076923293
2015-12-01,0.03923076923076785
2016-03-01,0.05851190476190027
2016-06-01,
2016-09-01,0.28887133699633605
2016-12-01,
2017-03-01,0.2438713369963299
2017-06-01,-0.030693748489511563
2017-09-01,0.11626162946627216
2017-12-01,0.11196713932750946
2018-03-01,-0.008692166002645033
2018-06-01,0.01603516369444158
2018-09-01,-0.02515242588988542
2018-12-01,0.012864890335839263
2019-03-01,0.05567969971398057
2019-06-01,0.016502821037111204
2019-09-01,-0.02776112154205812
2019-12-01,-0.037869817194220445
2020-03-01,-0.03193663060699192
2020-06-01,-0.1019387374044598
2020-09-01,-0.16046597104037907
2020-12-01,-0.17640875215401763
